分類,品目名,料金
その他・作業用具,突っ張り棒（５本以内）,400円 【A券】x2
趣味・スポーツ・レジャー用品,釣り竿（10本以内）,400円 【A券】x2
家具・寝具・建具,吊り棚・飾り棚 奥行きが20cm以内の小さな棚（20cm以上のものは棚・ラックで申し込み）,400円 【A券】x2
家具・寝具・建具,テーブル（最大辺８０㎝未満） 椅子は別料金となりますのでご注意下さい。注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,400円 【A券】x2
家具・寝具・建具,テーブル（最大辺８０㎝以上） キャンプ用テーブル以外。椅子は別料金となりますのでご注意下さい。注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,700円 【A券】x2 【B券】x1
家具・寝具・建具,【テーブル】お膳（最大辺80㎝未満） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,400円 【A券】x2
家具・寝具・建具,【テーブル】お膳（最大辺80㎝以上） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,700円 【A券】x2 【B券】x1
家具・寝具・建具,【テーブル】ガラステーブル（最大辺80㎝未満） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
家具・寝具・建具,【テーブル】ガラステーブル（最大辺80㎝以上） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,700円 【A券】x2 【B券】x1
家具・寝具・建具,【テーブル】座卓（最大辺80㎝未満） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,400円 【A券】x2
家具・寝具・建具,【テーブル】座卓（最大辺80㎝以上） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,700円 【A券】x2 【B券】x1
家具・寝具・建具,【テーブル】ダイニング（最大辺80㎝未満） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,400円 【A券】x2
家具・寝具・建具,【テーブル】ダイニング（最大辺80㎝以上） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,700円 【A券】x2 【B券】x1
家具・寝具・建具,【テーブル】ちゃぶ台（最大辺80㎝未満）,400円 【A券】x2
家具・寝具・建具,【テーブル】ちゃぶ台（最大辺80㎝以上）,700円 【A券】x2 【B券】x1
家具・寝具・建具,テーブル天板,400円 【A券】x2
電気・ガス・石油・厨房器具,テープレコーダー（オープンリール式）※30㎝以上のもの 30cm未満のものは「陶器・ガラス・金属類」の日にお出しください。,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,IH電磁調理器※30㎝以上のもの 30㎝未満のものは「陶器・ガラス・金属ゴミ」の日にお出しください。,"1,200円 【B券】x4"
電気・ガス・石油・厨房器具,電子レンジ オーブン機能がついていれば「オーブンレンジ」で申し込んでください。,700円 【A券】x2 【B券】x1
その他・作業用具,【トイレ】ポータブルトイレ（介護用含む） 中身は空にしてお出しください。,400円 【A券】x2
電気・ガス・石油・厨房器具,時計・置時計・掛時計・柱時計※30㎝以上のもの 30cm未満のものは「陶器・ガラス・金属類」の日にお出しください。乾電池は取り除いてお出しください。,400円 【A券】x2
電気・ガス・石油・厨房器具,流し台 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,"1,200円 【B券】x4"
その他・作業用具,鍋・釜・フライパン 取っ手を除いた直径が３０ｃｍ未満は【陶器・ガラス・金属ごみ】の日にお出し下さい。,400円 【A券】x2
その他・作業用具,【乳児用具】チャイルドシート,400円 【A券】x2
その他・作業用具,【乳児用具】バスケット,400円 【A券】x2
その他・作業用具,【乳児用具】ベビーカー,400円 【A券】x2
その他・作業用具,【乳児用具】ベビージム ※解体された場合は部品も含めまとめてお出しください。,400円 【A券】x2
その他・作業用具,【乳児用具】ベビーバス,400円 【A券】x2
その他・作業用具,【乳児用具】ベビーフェンス ベビーゲート※解体された場合は部品も含めまとめてお出しください。,400円 【A券】x2
その他・作業用具,【乳児用具】ベビーベッド ベビーベッドマットは別受付です。※解体された場合は部品も含めまとめてお出しください。,700円 【A券】x2 【B券】x1
その他・作業用具,【乳児用具】ベビーラック 背負ったりかごになったりするものです。,400円 【A券】x2
その他・作業用具,【乳児用具】歩行器,400円 【A券】x2
その他・作業用具,【乳児用具】ゆりかご,400円 【A券】x2
その他・作業用具,人形・ぬいぐるみ 30㎝未満は可燃ごみです。,400円 【A券】x2
その他・作業用具,人形ケース ★最大辺が60cm以上の場合は、ｶﾞﾗｽｹｰｽ（150cm未満）で登録をしてください。,400円 【A券】x2
その他・作業用具,パイプ類（１束）,400円 【A券】x2
その他・作業用具,パイプハンガー・ポールハンガー・コート掛け,700円 【A券】x2 【B券】x1
その他・作業用具,はしご（６段未満） 長さ２メートルを超えるものはお申し込み不可,400円 【A券】x2
その他・作業用具,【バッグ】キャスターバッグ 中身は空にしてお出しください。注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
その他・作業用具,【バッグ】トランク 中身は空にしてお出しください。注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
趣味・スポーツ・レジャー用品,バット（5本以内）,400円 【A券】x2
その他・作業用具,バブルスター・浴槽用気泡発生装置,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,パン焼き機・パン作り機・ホームベーカリー※30㎝以上のもの 30cm未満のものは「陶器・ガラス・金属類」の日にお出しください。,400円 【A券】x2
その他・作業用具,ビーズクッション ４５L袋に収まらない（結べない）大きな物は『座椅子（回転式）』でお申込みください。透明の袋に入れてお出しください。,400円 【A券】x2
電気・ガス・石油・厨房器具,ビデオカメラ,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,ビデオデッキ （DVD・ブルーレイ / プレーヤー・レコーダー） ビデオデッキ・DVD・ブルーレイ / プレーヤー・レコーダー,400円 【A券】x2
その他・作業用具,火鉢・七輪 灰は取り除いて、湿らせてから燃やすごみで排出してください。,400円 【A券】x2
その他・作業用具,ピンチハンガー・角ハンガー 開いた状態で30cm以上のもの,400円 【A券】x2
OA機器,ファクシミリ・ファックス,400円 【A券】x2
その他・作業用具,10kg以下健康器具（腹筋) 10kg以下の腹筋を鍛える健康器具(重さをご確認いただきお申し込みください),400円 【A券】x2
その他・作業用具,10kg超過の健康器具（腹筋) 10kg超過の腹筋を鍛える健康器具(重さをご確認いただきお申し込みください),700円 【A券】x2 【B券】x1
家具・寝具・建具,仏壇（最大辺30㎝以上50㎝未満） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,700円 【A券】x2 【B券】x1
家具・寝具・建具,仏壇（最大辺50㎝以上90㎝未満） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,"1,200円 【B券】x4"
家具・寝具・建具,仏壇（最大辺90㎝以上） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,"1,700円 【A券】x1 【B券】x5"
家具・寝具・建具,布団 大きさ問わず１枚ずつの受付になります。 掛けふとん、敷ふとん、かいまきぶとん、ベビーぶとん、夏がけ、肌がけ等 ★羽毛布団は【羽毛布団】の品目でお申し込みください ★布団用マットレスは「【布団】マットレス」でお申し込みください,400円 【A券】x2
家具・寝具・建具,【布団】羽毛布団,400円 【A券】x2
家具・寝具・建具,【布団】クッション（5個まで）,400円 【A券】x2
家具・寝具・建具,【こたつ】こたつ掛けぶとん,400円 【A券】x2
家具・寝具・建具,【こたつ】こたつ敷きぶとん,400円 【A券】x2
家具・寝具・建具,【布団】座ぶとん（5枚まで）,400円 【A券】x2
家具・寝具・建具,【布団】マットレス エアーベッド、ジェルマット、磁気マットレス。厚さがない（およそ10㎝未満）もの、丸められる（折りたためる）ものが対象です。※スプリングが入っているものや厚さ10㎝以上で丸めることができない（折りたためない）ものは「ベッドマット」としてお申込みください。,400円 【A券】x2
家具・寝具・建具,【布団】毛布（5枚まで） ★電気毛布も可。,400円 【A券】x2
家具・寝具・建具,布団干し,400円 【A券】x2
その他・作業用具,踏み台 10㎏以下のもの,400円 【A券】x2
趣味・スポーツ・レジャー用品,譜面立て・譜面台 譜面台もこちらの品目でお申し込みください。,400円 【A券】x2
家具・寝具・建具,ブラインド 最大辺が２００ｃｍを超えるものは、切断の上お出し下さい。,400円 【A券】x2
OA機器,プリンタ（インクジェット式・バブルジェット式）,400円 【A券】x2
OA機器,プリンタ（ドット式・インクリボン式）,700円 【A券】x2 【B券】x1
OA機器,プリンタ（レーザー式・トナー式）,"1,700円 【A券】x1 【B券】x5"
電気・ガス・石油・厨房器具,風呂釜 風呂釜の室外機・排気口・煙突は、風呂釜に含まれます。,"1,200円 【B券】x4"
その他・作業用具,風呂のふた,400円 【A券】x2
家具・寝具・建具,【ベッド】シングルベッド ベッドマットは別料金となりますのでご注意下さい。注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,"1,200円 【B券】x4"
家具・寝具・建具,【ベッド】パイプベッド ★２段ベット・ロフトベッドタイプは『二段ベッド』の扱いになります。（受付センターでお申し込み下さい・インターネット申込不可）※解体された場合は部品も含めまとめてお出しください。,700円 【A券】x2 【B券】x1
家具・寝具・建具,【ベッド】セミダブルベッド ベッドマットは別料金となりますのでご注意下さい。注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,"1,700円 【A券】x1 【B券】x5"
家具・寝具・建具,【ベッド】ダブルベッド ベッドマットは別料金となりますのでご注意下さい。注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,"2,100円 【B券】x7"
家具・寝具・建具,【ベッド】ソファーベッド 最大辺２００ｃｍ以下のもの。注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,"2,100円 【B券】x7"
家具・寝具・建具,【ベッド】ベビーベッド・乳児用具 ベッドマットは別料金となりますのでご注意下さい。,700円 【A券】x2 【B券】x1
その他・作業用具,ペットキャリー 解体できるものは解体してください。※解体された場合は部品も含めまとめてお出しください。,400円 【A券】x2
その他・作業用具,ペットケージ ペットを飼育するおりかごのこと。鳥かご等 解体できるものは解体してください。※解体された場合は部品も含めまとめてお出しください。,400円 【A券】x2
その他・作業用具,ペット小屋（木製または金属製） 解体できるものは解体してください。※解体された場合は部品も含めまとめてお出しください。,"1,200円 【B券】x4"
その他・作業用具,鳥小屋 解体できるものは解体してください。※解体された場合は部品も含めまとめてお出しください。,400円 【A券】x2
その他・作業用具,ペットトイレ 10kg以下のもの,400円 【A券】x2
家具・寝具・建具,【ベッド】ベッドマット ｽﾌﾟﾘﾝｸﾞ入り又は厚さ(およそ10㎝以上)があるなどで丸めることができない(折りたためない)ものが対象です。ｽﾌﾟﾘﾝｸﾞがなく丸められる(折りたためる)ものは「マットレス」としてお申込みください。脚付ベッドマットは「ベッド」（それぞれのサイズ）で申し込んでください。,"1,200円 【B券】x4"
家具・寝具・建具,【ベッド】ベビー用ベッドマット,400円 【A券】x2
趣味・スポーツ・レジャー用品,防具（剣道・アメリカンフットボール・アイスホッケ,400円 【A券】x2
その他・作業用具,ホースリール（ホース含む）,400円 【A券】x2
趣味・スポーツ・レジャー用品,ボーリングの玉,400円 【A券】x2
その他・作業用具,ポスト（ポール付） ユニット型のポストはお電話にてお申し込みください。,400円 【A券】x2
電気・ガス・石油・厨房器具,ホットプレート,400円 【A券】x2
その他・作業用具,ボディ・洋裁用ボディ トルソー、マネキン等もこちらの品目でお申し込みください。,700円 【A券】x2 【B券】x1
その他・作業用具,ポリタンク 中身は空にしてお出しください。注：中身に液体などがある場合回収を見送らせて頂きます。,400円 【A券】x2
その他・作業用具,ポリ容器・コンポスト容器 中身は空にしてお出しください。注：中身に付属品以外の物がある場合回収を見送らせて頂きます。,400円 【A券】x2
電気・ガス・石油・厨房器具,【ミシン】卓上型ミシン・テーブルミシン ミシンの箱だけもこちらでお申し込みください,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,【ミシン】箱型ミシン・足踏み式ミシン（卓上型以外） 椅子は、別受付となります。注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。,"2,100円 【B券】x7"
電気・ガス・石油・厨房器具,無線機,700円 【A券】x2 【B券】x1
電気・ガス・石油・厨房器具,餅つき器,700円 【A券】x2 【B券】x1
その他・作業用具,物置（解体済みのもの：最大辺９０㎝未満) ※解体された場合は部品も含めまとめてお出しください。,700円 【A券】x2 【B券】x1
その他・作業用具,物干し竿（５本以内） いずれか一辺でも200㎝を超えるものは収集できません。切断、分解、折り曲げる等をして200㎝以下にしてください。,400円 【A券】x2
その他・作業用具,物干し台（コンクリート付） 1つずつのお値段です。２個１組でも×２点。物干し竿は別料金となりますのでご注意下さい。,"1,200円 【B券】x4"
その他・作業用具,物干し台 1つずつのお値段です。2個1組でも×2点。ｺﾝｸﾘｰﾄ付は別に品目あります。物干し竿は別料金となりますのでご注意下さい。,400円 【A券】x2
電気・ガス・石油・厨房器具,湯沸かし器,400円 【A券】x2
その他・作業用具,浴槽,"1,200円 【B券】x4"
その他・作業用具,よしず・すだれ いずれか一辺でも200㎝を超えるものは収集できません。切断、分解、折り曲げる等をして200㎝以下にしてください。,400円 【A券】x2
その他・作業用具,ラケット（5本以内） テニスやバドミントン等のラケット。5本まで。ケース付き可,400円 【A券】x2
電気・ガス・石油・厨房器具,ラジオ 電池がある場合は取り除いてください。※３０センチ未満は「陶器・ガラス・金属ごみ」にお出しください。,400円 【A券】x2
電気・ガス・石油・厨房器具,ラジカセ・ラジオカセット 電池がある場合は取り除いてからお出しください。★CD・MDラジカセもこの品目で受付いたします。 ※３０センチ未満は「陶器・ガラス・金属ごみ」にお出しください。,400円 【A券】x2
家具・寝具・建具,ランドリーラック ※解体された場合は部品も含めまとめてお出しください。,400円 【A券】x2
電気・ガス・石油・厨房器具,レーザーディスク 本体のご料金です。,400円 【A券】x2
電気・ガス・石油・厨房器具,ロースター（調理器）※30㎝以上のもの 30cm未満のものは「陶器・ガラス・金属類」の日にお出しください。,400円 【A券】x2
家具・寝具・建具,【箱物家具】ロッカー（３辺の合計が180cm未満） 素材が概ねスチールで出来ていて、３辺の合計が180cm未満のもの注：引き出しや中身に付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,400円 【A券】x2
家具・寝具・建具,【箱物家具】ロッカー（３辺の合計が180cm以上240cm未満） 素材が概ねスチールで出来ていて、３辺の合計が180cm以上240cm未満のもの注：引き出しや中身に付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,700円 【A券】x2 【B券】x1
家具・寝具・建具,【箱物家具】ロッカー（３辺の合計が240cm以上310cm未満） 素材が概ねスチールで出来ていて、３辺の合計が240cm以上310cm未満のもの注：引き出しや中身に付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,"1,200円 【B券】x4"
家具・寝具・建具,【箱物家具】ロッカー（３辺の合計が310cm以上） 素材が概ねスチールで出来ていて、３辺の合計が310cm以上のもの注：引き出しや中身に付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,"2,100円 【B券】x7"
家具・寝具・建具,ワゴン（最大辺９０㎝未満） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,400円 【A券】x2
家具・寝具・建具,ワゴン（最大辺９０㎝以上） 注：引き出しなどに付属品以外の物がある場合回収を見送らせて頂きます。※解体された場合は部品も含めまとめてお出しください。,700円 【A券】x2 【B券】x1
